id,question,answerable,expected_points,expected_source_docs,category
1,Quali sono le caratteristiche meccaniche della Olivetti Lettera 22?,yes,43 tasti di scrittura (86 segni); incolonnatore per la scrittura in colonna; commutatore/leva del nastro bicolore (due colori + matrici); marginatori visibili; frizione del rullo; tasto per il ritorno del carrello; tasto per la scrittura oltre i margini; aste reggicarta; impostatore e annullatore degli arresti dell'incolonnatore; meccanismo di scrittura 'Cinematico' ad accelerazione progressiva; regolatore del tocco a 4 posizioni,Fogli Catalogo - Lettera 22 - fronte-retro;istruzioni_lettera22_revisionato,meccanica
2,Quali materiali sono stati utilizzati per la costruzione della macchina?,no,,,meccanica
3,Quali sono le dimensioni e il peso della Lettera 22?,yes,"peso 3,7 kg; altezza 85 mm, larghezza 302 mm, lunghezza 324 mm; diametro rullo 32 mm; spazi: 87 (carattere Pica) o 100 (carattere Eletto/Lettera); tre interlineature 5 - 7,5 - 10 mm oltre la posizione 0",Fogli Catalogo - Lettera 22 - fronte-retro,meccanica
4,Come funziona il sistema di battitura e di ritorno del carrello?,yes,"meccanismo di scrittura 'Cinematico' ad accelerazione progressiva, che dà leggerezza ed elasticità alla tastiera consentendo scrittura veloce e uniforme; il ritorno a capo e il cambio di riga si fanno con la leva dell'interlinea 6; il tasto del ritorno 19 fa retrocedere il carrello di uno spazio; le leve liberacarrello 10 lo fanno scorrere a sinistra; la leva di bloccaggio del carrello 7 lo blocca per il trasporto",Fogli Catalogo - Lettera 22 - fronte-retro;istruzioni_lettera22_revisionato,meccanica
5,Qual è la velocità massima di battitura che può raggiungere?,no,,,meccanica
6,Che tipo di nastro inchiostrato utilizza la Lettera 22?,yes,"nastro con due parti: superiore blu o nera, inferiore rossa; si passa da una all'altra con la leva del bicolore 18; è dello stesso tipo usato per le macchine da ufficio ed è montato su bobine di uguale capacità; avanzamento automatico con inversione automatica a fine bobina; il commutatore del nastro permette anche di imprimere matrici",istruzioni_lettera22_revisionato;Fogli Catalogo - Lettera 22 - fronte-retro,meccanica
7,Come viene eseguita la manutenzione e la riparazione della macchina?,yes,pulizia dei caratteri con pennello duro di nailon inumidito di benzina; pulizia del rullo con straccio bianco inumidito di alcool; pulizia interna smontando la lamiera inferiore (4 viti) e usando il pennello morbido di setola asciutto; non lubrificare mai la macchina; applicare la copertina gommata quando è inoperosa (la polvere è la peggior nemica); per la manutenzione generale e gli inconvenienti di funzionamento rivolgersi alle officine del Servizio Tecnico Assistenza Clienti Olivetti,istruzioni_lettera22_revisionato,meccanica
8,In quale anno è stata prodotta la Olivetti Lettera 22?,yes,la Lettera 22 è introdotta nel 1950 (industrial design di Marcello Nizzoli),Estratto DESIGN PROCESS OLIVETTI 1908 1983,storia
9,Chi ha progettato la Lettera 22?,yes,industrial design di Marcello Nizzoli (1950); le caratteristiche tecniche sono di Giuseppe Beccio,Estratto DESIGN PROCESS OLIVETTI 1908 1983,design
10,Qual è stato il contesto storico-economico in cui è stata lanciata?,partial,"contesto di ripresa post-bellica: con la fine della guerra Olivetti torna attiva sui mercati esteri (1946), con una prima base di vendita a New York; nel 1948 Lexikon 80 e Divisumma aprono un vasto mercato; nel 1950, anno della Lettera 22, viene costituita la Olivetti Corporation of America a New York. Nessuna frase collega esplicitamente il lancio della L22 a un contesto economico specifico",Estratto DESIGN PROCESS OLIVETTI 1908 1983,storia
